title,year,rating,type,genres
The Talented Mr. Ripley,1999,7.4,movie,
,,,,Crime
Boys Don't Cry,1999,7.5,movie,
,,,,Crime
The Green Mile,1999,8.6,movie,
,,,,Crime
The World Is Not Enough,1999,6.4,movie,
,,,,Crime
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,
,,,,Crime
Double Jeopardy,1999,6.5,movie,
,,,,Crime
House on Haunted Hill,1999,5.7,movie,
,,,,Crime
Life,1999,6.8,movie,
,,,,Crime
The Boondock Saints,1999,7.8,movie,
,,,,Crime
Jawbreaker,1999,5.7,movie,
,,,,Crime
